,titulo_1,titulo_2,url_1,url_2
155,Refrigerador Panasonic NR-BT51PV3XB 435L Aço Escovado,"Geladeira/Refrigerador Panasonic 435 Litros NR-BT51PV3, Frost Free, 2 Portas, Econavi, Aço Escovado",https://www.americanas.com.br/produto/2134978397,https://www.americanas.com.br/produto/48004110
261,Geladeira Lg Bottom Freezer 451 Litros Inox 110v Gc-b659bsb,Refrigerador LG inverse 451 litros inox GC-B659BSB1 - Aço Escovado - 220 V,https://www.americanas.com.br/produto/3926211637,https://www.americanas.com.br/produto/4822017792
103,Geladeira Brastemp Gourmand Frost Free Side Inverse 540 litros Inox com Ice Maker - BRO81AR,Refrigerador Side Inverse Brastemp de 03 Portas Frost Free com 540 Litros Painel Eletrônico Inox - BRO81AR,https://www.americanas.com.br/produto/4239576079,https://www.americanas.com.br/produto/1546721889
71,Geladeira Brastemp Frost Free Duplex 462 litros cor Inox com Turbo Control - BRM56AK 110V,Geladeira Brastemp Frost Free 2 Portas BRM56 462L Inox - 110v,https://www.amazon.com.br/Geladeira-Brastemp-Duplex-litros-Control/dp/B079ZH2X9Z,https://www.americanas.com.br/produto/132718911
112,Geladeira Consul Frost Free Duplex 397 litros com Freezer Embaixo cor inox - CRE44AK 220V,Geladeria/Refrigerador Consul Duplex CRE44 Frost Free com Freezer Embaixo 397 litros Evox - 220V,https://www.amazon.com.br/gp/offer-listing/B07THM2NYG,https://www.americanas.com.br/produto/134545663
203,Refrigerador ngv 10 preto fosco 12/24 V,Refrigerador Ngv 10 Preto Fosco 12/24 V,https://www.americanas.com.br/produto/3652814018,https://www.americanas.com.br/produto/2986962539
90,Refrigerador BRM45 375 Litros Frost Free 110W Brastemp,Geladeira Brastemp Frost Free Duplex 375 litros com Espaço Adapt - BRM45HB 110V,https://www.americanas.com.br/produto/4064180101,https://www.amazon.com.br/gp/offer-listing/B07JB5PDGB
55,Refrigerador Consul 386l Frost Free - Crm43 Platinum 220v,Refrigerador Consul 386l Frost Free Classe A Crm43 Platinum 220v,https://www.americanas.com.br/produto/4898438147,https://www.americanas.com.br/produto/4883003415
278,Refrigerador LG Smart French Door com Instaview Door-In-Door e Hygiene Fresh GR-X228NM Preto Fosco – 525L 220V,Geladeira Smart Lg French Door Inverter 525 Litros Preto Fosco Com Instaview Door-In-Door 220,https://www.americanas.com.br/produto/5078896855,https://www.americanas.com.br/produto/4672898503
73,Geladeira Brastemp Frost Free 2 Portas BRM56 462L Inox - 110v,Geladeira Refrigerador Frost Free BRM56AK 462 Litros 2 Portas Brastemp,https://www.americanas.com.br/produto/132718911,https://www.americanas.com.br/produto/4807509393
